Participant,Session,Block,OnsetDelay,Condition,SphereBias,Shift,Percept,Time
JBT1998WRNO,2020-02-24-13-09-19,1,1.144673908394954,Walker,-1,-2,up,1.0509123298174927
JBT1998WRNO,2020-02-24-13-09-19,1,1.144673908394954,Walker,-1,-2,end,60.01497862351425
JBT1998WRNO,2020-02-24-13-09-19,2,0.8803809858074798,Sphere,1,4,end,60.014928552746824
JBT1998WRNO,2020-02-24-13-09-19,3,0.7534849262670604,Sphere,-1,-2,end,60.01484613812863
JBT1998WRNO,2020-02-24-13-09-19,4,1.0920768428914285,Sphere,1,-2,end,60.014807263309194
JBT1998WRNO,2020-02-24-13-09-19,5,0.9973783957619542,Sphere,-1,0,end,60.014894031906806
JBT1998WRNO,2020-02-24-13-09-19,6,1.4570044695219306,Walker,1,4,up,1.6180387249187334
JBT1998WRNO,2020-02-24-13-09-19,6,1.4570044695219306,Walker,1,4,end,60.014813483279795
JBT1998WRNO,2020-02-24-13-09-19,7,1.1031451512276031,Walker,-1,-4,up,1.918278598105644
JBT1998WRNO,2020-02-24-13-09-19,7,1.1031451512276031,Walker,-1,-4,end,60.01482250223853
JBT1998WRNO,2020-02-24-13-09-19,8,1.1554238026453452,Sphere,1,-4,end,60.01490647184892
JBT1998WRNO,2020-02-24-13-09-19,9,1.3036602708252878,Walker,-1,0,down,0.8507443283970133
JBT1998WRNO,2020-02-24-13-09-19,9,1.3036602708252878,Walker,-1,0,end,60.01484893711586
JBT1998WRNO,2020-02-24-13-09-19,10,0.9535526799754028,Walker,1,2,down,0.9346019793811138
JBT1998WRNO,2020-02-24-13-09-19,10,0.9535526799754028,Walker,1,2,end,60.01483494218064
JBT1998WRNO,2020-02-24-13-09-19,11,1.2411837373611965,Walker,-1,2,down,3.386220089325434
JBT1998WRNO,2020-02-24-13-09-19,11,1.2411837373611965,Walker,-1,2,unclear,4.787270144854119
JBT1998WRNO,2020-02-24-13-09-19,11,1.2411837373611965,Walker,-1,2,up,4.9873722145803185
JBT1998WRNO,2020-02-24-13-09-19,11,1.2411837373611965,Walker,-1,2,end,60.01483587517578
JBT1998WRNO,2020-02-24-13-09-19,12,0.8363230055631469,Walker,1,0,up,0.700638075740244
JBT1998WRNO,2020-02-24-13-09-19,12,0.8363230055631469,Walker,1,0,end,60.014809751297435
JBT1998WRNO,2020-02-24-13-09-19,13,1.049649740292634,Sphere,-1,-4,end,60.01479046938675
JBT1998WRNO,2020-02-24-13-09-19,14,1.114472950870113,Walker,1,-4,down,1.1676960200575195
JBT1998WRNO,2020-02-24-13-09-19,14,1.114472950870113,Walker,1,-4,end,60.01497271454173
JBT1998WRNO,2020-02-24-13-09-19,15,0.9096520204180351,Walker,-1,4,down,1.1509024089637023
JBT1998WRNO,2020-02-24-13-09-19,15,0.9096520204180351,Walker,-1,4,end,60.014806641312134
JBT1998WRNO,2020-02-24-13-09-19,16,1.0812947402233035,Sphere,1,0,end,60.01491797879498
JBT1998WRNO,2020-02-24-13-09-19,17,1.0109585338317815,Sphere,-1,-2,end,60.01483805216594
JBT1998WRNO,2020-02-24-13-09-19,18,0.8542012921119904,Sphere,1,-2,end,60.01490305086463
JBT1998WRNO,2020-02-24-13-09-19,19,1.4125359801668416,Sphere,-1,4,end,60.01490678284699
JBT1998WRNO,2020-02-24-13-09-19,20,1.0180980912970856,Walker,1,-2,up,0.9675096697228582
JBT1998WRNO,2020-02-24-13-09-19,20,1.0180980912970856,Walker,1,-2,unclear,1.384500578301413
JBT1998WRNO,2020-02-24-13-09-19,20,1.0180980912970856,Walker,1,-2,down,1.5346478827686951
JBT1998WRNO,2020-02-24-13-09-19,20,1.0180980912970856,Walker,1,-2,end,60.01489962988035
